Lightning Rift ,C20-UC-ENG-155-NM,11,0.5000,0.5000,0.5000
Lightning Rift,DMR-UC-ENG-129-NM,11,0.5000,0.5000,0.5000
Lightning Runner,AER-M-EN-090-NM,22,1.4000,1.4000,1.4000
Lightning Runner,M3C-M-ENG-0215-NM,11,1.4000,1.4000,1.4000
Lightning Runner FOIL,AER-M-FOIL-EN-090-NM,0,4.7000,4.7000,4.7000
Lightning Serpent (Coldsnap),MISC-R-ENG-CSP-088-NM,1,3.3700,3.3700,3.3700
Lightning Shrieker,FRF-C-EN-106-NM,6,0.2500,0.2500,0.2500
Lightning Shrieker FOIL,FRF-C-FOIL-EN-106-NM,9,0.6500,0.6500,0.6500
Lightning Skelemental,MH1-R-ENG-208-NM,29,2.0000,2.0000,2.0000
Lightning Skelemental FOIL,MH1-R-FOIL-ENG-208-NM,3,8.1000,8.1000,8.1000
Lightning Spear,MH2-C-ENG-134-NM,7,0.3000,0.3000,0.3000
Lightning Storm (Coldsnap),MISC-UC-EN-CSP-089-NM,0,1.0000,1.0000,1.0000
Lightning Storm FOIL,MB1-UC-FOIL-ENG-54-NM,27,0.5000,0.5000,0.5000
Lightning Storm FOIL (Coldsnap),MISC-UC-FOIL-EN-CSP-089-NM,4,4.0500,4.0500,4.0500
Lightning Stormkin,M20-UC-ENG-213-NM,12,0.5000,0.5000,0.5000
Lightning Strike ,TRS-127-EN-NM,0,0.2500,0.2500,0.2500
Lightning Strike,M15-155-EN-NM,0,0.2500,0.2500,0.2500
Lightning Strike,XLN-UC-EN-149-NM,0,0.5000,0.5000,0.5000
Lightning Strike,M19-UC-EN-152-NM,0,0.5000,0.5000,0.5000
Lightning Strike,GN2-C-ENG-042-NM,0,0.2500,0.2500,0.2500
Lightning Strike,DMU-C-ENG-137-NM,1,0.5000,0.5000,0.5000
Lightning Strike,DFT-C-ENG-0136-NM,12,0.5000,0.5000,0.5000
Lightning Strike (Promo Pack Promo),PR-DMU-C-ENG-433-NM,1,0.8000,0.8000,0.8000
Lightning Strike FOIL,TRS-127-EN-NM-FOIL,0,1.9000,1.9000,1.9000
Lightning Strike FOIL,M15-C-FOIL-ENG-155-NM,0,1.9500,1.9500,1.9500
